Protein_Id	Gene_Symbol	Description	Group_ID	Number_of_peptides	Collapsed	Parsimony	default~ratios0 sum	TMTPro126	TMTPro128C	TMTPro129N	TMTPro130C	TMTPro131N	TMTPro131C	TMTPro133C	TMTPro134N	default~ratios9 sum
KY21.Chr9.581.v1.SL1-1			92	39	C	UR	0	5.64216	4.87327	5.40117	4.24819	4.78025	4.27041	5.24963	4.53496	0
KY21.Chr14.286.v1.SL1-1			93	10	C	UR	0	1.37925	1.19675	1.46978	1.11607	1.32114	1.10532	1.22843	1.18324	0
KY21.Chr7.1208.v1.nonSL3-1			94	19	C	UR	0	2.46256	2.11952	2.34219	2.72706	2.6837	2.22235	2.45645	1.98612	0
KY21.Chr7.663.v1.SL2-1			95	4	C	UR	0	0.57937	0.49068	0.55292	0.370833	0.421923	0.378464	0.62352	0.58231	0
KY21.Chr10.399.v1.SL1-1			96	9	C	UR	0	0.836281	0.707593	0.902834	0.993876	1.17757	1.19212	1.51466	1.67511	0
KY21.Chr7.68.v1.SL1-1			97	7	C	UR	0	0.88078	0.608523	0.74562	0.533667	0.597681	0.852799	1.19583	1.58509	0
KY21.Chr7.1056.v1.SL2-1			98	9	C	UR	0	1.03897	0.883218	1.13647	0.765552	1.03497	1.07103	1.49808	1.57168	0
KY21.Chr14.35.v1.SL1-1			99	71	C	UR	0	8.94648	7.46129	8.50538	7.57537	8.93598	8.52358	10.9898	10.062	0
KY21.Chr11.119.v1.SL1-1			100	1	C	UR	0	0.07645	0.0000011716	0.098819	0.13915	0.23575	0.14535	0.15717	0.14731	0
KY21.Chr11.725.v1.SL1-1			101	9	C	UR	0	0.453728	0.44744	0.979833	1.0994	1.41307	1.42652	1.58763	1.59237	0
KY21.Chr5.987.v1.nonSL2-1			102	6	C	UR	0	0.423998	0.326371	0.425304	0.8577	0.95622	0.84551	1.09363	1.07128	0
KY21.Chr5.986.v1.nonSL1-1			102	9	C	UR	0	1.07321	0.889015	0.945927	1.02617	1.04269	1.00509	1.62353	1.39435	0
KY21.Chr14.401.v1.SL2-1			103	40	C	UR	0	5.73022	4.64462	5.59964	4.25933	4.83619	4.58536	5.50432	4.8403	0
KY21.Chr10.411.v1.SL2-1			104	7	C	UR	0	0.485206	0.505119	0.94805	0.935531	1.07907	0.831248	1.22116	0.99462	0
KY21.Chr14.254.v1.SL1-1			105	1	C	UR	0	0.12192	0.11088	0.10422	0.099275	0.13984	0.12104	0.16048	0.14234	0
KY21.Chr4.101.v1.SL2-1			106	6	C	UR	0	0.589718	0.514049	0.607944	0.613931	0.642969	0.75884	1.17515	1.09739	0
KY21.Chr14.186.v1.nonSL1-1			106	3	C	UR	0	0.37075	0.304624	0.36177	0.357	0.38245	0.346226	0.46412	0.41308	0
KY21.Chr1.784.v1.SL3-1			107	28	C	UR	0	2.74818	2.83016	3.37657	3.10293	3.67684	3.58228	4.57488	4.10813	0
KY21.Chr2.28.v1.SL2-2			108	5	C	UR	0	0.66635	0.59068	0.67287	0.63045	0.7548	0.62685	0.62694	0.431094	0
KY21.Chr6.384.v1.SL1-1			109	7	C	UR	0	0.741637	0.558116	0.763891	0.651495	0.831621	0.780363	1.35538	1.31751	0
KY21.Chr3.960.v1.nonSL4-1			110	13	C	UR	0	1.35027	1.16234	1.58614	1.47133	1.81463	1.8004	2.03911	1.77585	0
KY21.Chr5.415.v1.SL2-1			111	29	C	UR	0	3.64801	3.04321	3.70569	3.06415	3.72657	3.4924	4.34345	3.97648	0
KY21.Chr3.1083.v1.nonSL2-1			112	15	C	UR	0	1.9644	1.79826	1.94272	1.8322	1.92419	1.81009	2.02511	1.70302	0
KY21.Chr9.434.v1.SL1-1			112	28	C	UR	0	3.11354	2.63521	3.22628	3.08571	3.66346	3.48525	4.44771	4.34291	0
KY21.Chr3.476.v1.SL1-1			113	28	C	UR	0	3.30382	2.88903	3.51242	3.25733	3.65746	3.38581	4.2419	3.7522	0
KY21.Chr14.465.v1.nonSL7-1			114	46	C	UR	0	9.06518	7.72674	8.04464	5.73682	5.45339	3.73082	3.61979	2.62259	0
KY21.Chr5.787.v2.ND7-1			115	20	C	UR	0	2.40712	1.92771	3.72132	2.0467	2.36763	2.10308	2.87133	2.55512	0
KY21.Chr14.377.v1.SL1-1			116	35	C	UR	0	4.87047	4.13511	4.78987	4.11162	4.66006	4.03783	4.43615	3.95894	0
KY21.Chr5.524.v1.nonSL5-1			117	27	C	UR	0	3.72394	3.99213	3.67449	2.93599	3.62875	2.63059	3.39051	3.02359	0
KY21.Chr1.1865.v1.SL1-2			118	63	C	UR	0	7.38159	6.57763	7.49823	7.27333	8.10126	7.09226	10.0931	8.98256	0
KY21.Chr2.1257.v3.nonSL5-1			119	11	C	UR	0	0.705568	0.829706	1.21083	1.21163	1.28055	1.38763	2.18308	2.191	0
KY21.Chr1.1752.v1.SL1-1			121	10	C	UR	0	1.23276	1.05188	1.34383	1.32445	1.54412	1.22533	1.20115	1.07645	0
KY21.Chr9.1089.v1.nonSL3-1			122	9	C	UR	0	2.38105	1.72808	1.86973	0.706011	0.806633	0.558921	0.581635	0.367936	0
KY21.Chr1.349.v1.SL2-1			123	3	C	UR	0	0.111475	0.188406	0.52692	0.33184	0.4101	0.38091	0.59831	0.45203	0
KY21.Chr9.903.v1.SL3-1			124	5	C	UR	0	0.64213	0.56822	0.7152	0.340312	0.435867	0.391206	0.94082	0.96628	0
KY21.Chr8.854.v1.nonSL2-1			125	16	C	UR	0	2.03072	1.61865	2.03691	1.91155	2.20937	2.0605	2.16944	1.96282	0
KY21.Chr7.1047.v1.nonSL1-1			126	12	C	UR	0	1.43001	1.16308	1.51766	1.54392	1.62265	1.45826	1.70733	1.55712	0
KY21.Chr1.2263.v1.nonSL46-1			126	42	C	UR	0	5.2357	4.71764	5.13645	4.77075	5.51428	4.86443	6.06332	5.69747	0
KY21.Chr1.2263.v1.nonSL60-1			126	1	C	UR	0	0.13167	0.11933	0.11675	0.10749	0.13104	0.10938	0.14859	0.13575	0
KY21.Chr3.810.v1.ND1-1			127	12	C	UR	0	1.59016	1.31641	1.5139	1.37766	1.66744	1.35139	1.70101	1.48205	0
KY21.Chr1.2052.v1.SL1-1			128	16	C	UR	0	0.907639	0.743087	0.999845	1.29808	2.00365	2.48948	3.60899	3.9492	0
KY21.Chr11.1269.v1.nonSL11-1			129	34	C	UR	0	3.82609	3.41618	3.82257	5.58254	4.3763	4.18371	4.67233	4.12028	0
KY21.Chr14.150.v1.nonSL3-1			130	14	C	UR	0	1.21913	1.09081	1.53697	1.5226	2.18828	2.08557	2.33946	2.01722	0
KY21.Chr7.301.v1.SL1-1			131	8	C	UR	0	0.78768	0.764064	0.832129	0.760335	0.93087	0.984541	1.4772	1.46317	0
KY21.Chr2.215.v2.SL3-1			132	8	C	UR	0	1.3243	0.795604	0.94382	0.869571	1.04649	0.957614	1.02536	1.0372	0
KY21.Chr6.415.v2.SL3-1			133	14	C	UR	0	0.971147	0.823823	1.02781	2.32885	2.63646	1.93162	2.2513	2.02897	0
KY21.Chr2.236.v1.SL1-1			134	8	C	UR	0	1.01211	0.83908	0.9441	1.08413	1.17032	1.03597	1.06431	0.850005	0
KY21.Chr3.956.v1.SL1-1			135	7	C	UR	0	0.95738	0.762837	0.83675	0.805693	0.97391	0.761911	0.92338	0.978131	0
KY21.Chr14.6.v1.nonSL2-1			136	13	C	UR	0	0.661879	1.23667	1.48636	1.44368	1.99822	2.01678	2.14805	2.00841	0
KY21.Chr1.1288.v1.SL1-2			137	19	C	UR	0	2.77554	2.293	2.58017	2.06569	2.43099	2.09216	2.33626	2.42619	0
KY21.Chr3.1581.v1.SL2-1			138	29	C	UR	0	3.5371	3.00936	3.43017	3.33804	3.67692	3.37829	4.65321	3.97696	0
KY21.Chr11.225.v1.nonSL2-1			139	13	C	UR	0	2.53779	2.13041	1.96027	1.3924	1.604	1.34863	1.11795	0.908561	0
KY21.Chr13.342.v1.nonSL3-1			140	34	C	UR	0	4.82821	4.32634	4.72755	3.5582	4.00697	3.5276	4.83036	4.19487	0
KY21.Chr2.656.v1.SL1-1			141	83	C	UR	0	0.613876	0.979707	1.06186	0.318163	1.81	9.37414	26.7468	42.0955	0
KY21.Chr11.773.v1.SL1-1			141	4	C	UR	0	0.00325106	0.00209587	0.031321	0.00461844	0.095402	0.540972	1.4123	1.91004	0
KY21.Chr11.41.v2.SL1-1			141	9	C	UR	0	0.0201654	0.0161749	0.0531819	0.0221561	0.164078	0.924765	2.94447	4.85502	0
KY21.Chr11.334.v1.SL1-1			141	123	C	UR	0	15.2852	12.9865	14.9074	13.1066	14.7893	15.0712	18.6126	18.2412	0
KY21.Chr3.309.v1.nonSL2-1			141	4	C	UR	0	0.242568	0.125324	0.266341	0.184873	0.15531	0.48986	1.05201	1.48371	0
KY21.Chr14.871.v1.SL1-1			141	22	C	UR	0	0.0389742	0.0809082	0.223563	0.0757814	0.583545	2.44828	7.17073	11.3782	0
KY21.Chr1.1614.v1.ND1-1			142	1	C	UR	0	0.11964	0.088507	0.10343	0.090624	0.11325	0.1339	0.15873	0.19192	0
KY21.Chr8.1160.v1.SL1-1			143	20	C	UR	0	2.30986	2.04311	2.44281	2.46345	2.80676	2.76551	2.78432	2.38418	0
KY21.Chr10.930.v1.SL1-4			144	14	C	UR	0	1.51081	1.51652	1.83149	1.68465	1.89302	1.79419	2.03746	1.73189	0
KY21.Chr9.1030.v1.ND1-1			145	1	C	UR	0	0.087044	0.087736	0.11208	0.082376	0.086687	0.076587	0.28276	0.18473	0
KY21.Chr12.708.v1.nonSL1-1			146	2	C	UR	0	0.165528	0.0737585	0.48642	0.187734	0.219699	0.225518	0.28925	0.3521	0
KY21.Chr11.903.v3.SL1-3			147	8	C	UR	0	0.93787	0.762194	0.846828	1.08301	1.13581	1.04077	1.15557	1.03794	0
KY21.Chr9.1127.v1.nonSL1-1			148	1	C	UR	0	0.12469	0.11827	0.17222	0.077454	0.11655	0.081066	0.16211	0.14763	0
KY21.Chr7.1185.v1.nonSL7-1			149	7	C	UR	0	0.82992	0.69907	0.862281	0.745135	0.94202	0.90724	0.997434	1.01688	0
KY21.Chr11.1126.v2.ND3-2			150	11	C	UR	0	1.49251	1.17411	2.21461	1.03573	1.18892	1.11026	1.40426	1.3796	0
KY21.Chr2.1396.v1.nonSL2-1			151	11	C	UR	0	0.952917	0.865799	1.06256	1.06265	1.36754	1.47795	2.06044	2.15014	0
KY21.Chr12.779.v1.SL1-1			152	13	C	UR	0	2.09617	1.70654	2.06294	1.76587	1.76695	1.41983	1.34704	0.834638	0
KY21.Chr8.795.v1.nonSL2-1			153	2	C	UR	0	0.26253	0.22105	0.24498	0.25308	0.27719	0.2427	0.26017	0.23832	0
KY21.Chr4.38.v1.SL2-1			154	10	C	UR	0	1.30942	1.10816	1.3082	1.0635	1.23962	1.0737	1.4869	1.41049	0
KY21.Chr2.1486.v1.SL1-1			155	3	C	UR	0	0.304359	0.302294	0.35925	0.37723	0.41144	0.37825	0.47807	0.3891	0
KY21.Chr5.18.v1.nonSL6-3			156	12	C	UR	0	1.39532	1.1902	1.56786	1.59765	1.7208	1.45441	1.72922	1.3446	0
KY21.Chr8.1299.v1.ND1-1			157	7	C	UR	0	0.757367	0.551317	0.768261	0.819716	1.14358	1.06663	1.02774	0.865408	0
KY21.Chr12.493.v1.ND1-1			158	2	C	UR	0	0.209357	0.191555	0.204254	0.24441	0.21947	0.23453	0.39099	0.30544	0
KY21.Chr3.1254.v1.SL1-1			159	71	C	UR	0	8.2867	6.76423	7.83898	7.02027	8.13928	8.26759	12.2539	12.429	0
KY21.Chr4.666.v1.SL2-1			160	11	C	UR	0	1.12523	1.12265	1.22777	1.20555	1.44596	1.41545	1.82193	1.63547	0
KY21.Chr2.492.v1.SL1-1			161	21	C	UR	0	3.12407	2.92818	3.27201	2.41208	2.74824	2.25813	2.33831	1.91896	0
KY21.Chr6.603.v2.SL1-1			162	2	C	UR	0	0.179476	0.149037	0.187579	0.29777	0.33222	0.277265	0.29023	0.2864	0
KY21.Chr4.432.v1.SL1-1			162	3	C	UR	0	0.0490257	0.0417806	0.132956	0.75653	0.71442	0.72488	0.303871	0.276532	0
KY21.Chr8.1053.v1.ND1-1			163	174	C	UR	0	23.0064	19.1377	20.8529	23.6936	21.6281	20.1927	21.8745	22.614	0
KY21.Chr2.713.v1.SL2-1			164	32	C	UR	0	4.66094	3.94801	4.58827	3.02082	3.51312	3.24256	4.70148	4.32473	0
KY21.Chr11.332.v1.nonSL1-1			165	32	C	UR	0	2.35631	2.15614	3.01832	3.43929	4.7306	5.14839	6.01805	5.13289	0
KY21.Chr10.1039.v1.SL2-1			166	6	C	UR	0	0.614182	0.604335	0.94298	0.715488	0.83632	0.760685	0.83835	0.68765	0
