queryId	subjectId	identity.x	alignmentLength.x	mismatch.x	gapopen.x	qstart.x	qend.x	sstart.x	send.x	evalue.x	bitscore.x	identity.y	alignmentLength.y	mismatch.y	gapopen.y	qstart.y	qend.y	sstart.y	send.y	evalue.y	bitscore.y
KY21.Chr1.1063	tr|Q4H3F3|Q4H3F3_CIOIN	100	694	0	0	19	712	1	694	0	1447	100	694	0	0	1	694	19	712	0	1447
KY21.Chr1.1066	tr|F6PZT9|F6PZT9_CIOIN	99.869	765	1	0	4	768	1	765	0	1589	99.869	765	1	0	1	765	4	768	0	1589
KY21.Chr1.1068	tr|F6Q071|F6Q071_CIOIN	99.588	243	1	0	55	297	1	243	6.92e-176	504	99.588	243	1	0	1	243	55	297	3.16e-176	504
KY21.Chr1.107	tr|F7A7C3|F7A7C3_CIOIN	99.469	753	4	0	14	766	1	753	0	1574	99.469	753	4	0	1	753	14	766	0	1574
KY21.Chr1.1071	tr|H2XP07|H2XP07_CIOIN	90.741	54	5	0	72	125	1	54	2.35e-28	97.1	90.741	54	5	0	1	54	72	125	1.59e-28	97.1
KY21.Chr1.1072	tr|A0A1W2WQ35|A0A1W2WQ35_CIOIN	100	256	0	0	11	266	1	256	0	517	100	256	0	0	1	256	11	266	0	517
KY21.Chr1.1073	tr|F6TS15|F6TS15_CIOIN	89.514	1831	11	12	13	1739	1	1754	0	3283	89.514	1831	11	12	1	1754	13	1739	0	3186
KY21.Chr1.1074	tr|F6TS32|F6TS32_CIOIN	78.832	685	67	6	24	691	1	624	0	1006	78.832	685	67	6	1	624	24	691	0	1003
KY21.Chr1.1075	tr|H2XP88|H2XP88_CIOIN	99.497	199	1	0	4	202	1	199	2.26e-147	411	99.497	199	1	0	1	199	4	202	2.15e-147	411
KY21.Chr1.1077	tr|F6Q0D8|F6Q0D8_CIOIN	99.014	1116	5	2	251	1360	1	1116	0	2295	99.014	1116	5	2	1	1116	251	1360	0	2295
KY21.Chr1.1078	tr|F6Q4H4|F6Q4H4_CIOIN	97.368	152	4	0	16	167	1	152	1.14e-110	310	97.368	152	4	0	1	152	16	167	1.62e-110	310
KY21.Chr1.108	tr|F7A7M7|F7A7M7_CIOIN	100	217	0	0	8	224	1	217	1.2e-165	454	100	217	0	0	1	217	8	224	1.82e-165	454
KY21.Chr1.1085	tr|F6WDL8|F6WDL8_CIOIN	99.646	565	2	0	751	1315	1	565	0	1182	99.646	565	2	0	1	565	751	1315	0	1182
KY21.Chr1.1086	tr|F6VS92|F6VS92_CIOIN	100	554	0	0	7	560	1	554	0	1127	100	554	0	0	1	554	7	560	0	1127
KY21.Chr1.1087	tr|H2XPP4|H2XPP4_CIOIN	100	69	0	0	14	82	1	69	4.2e-46	140	100	69	0	0	1	69	14	82	5.53e-46	140
KY21.Chr1.1088	tr|F6VR17|F6VR17_CIOIN	100	269	0	0	14	282	1	269	0	545	100	269	0	0	1	269	14	282	0	545
KY21.Chr1.1089	tr|F6V304|F6V304_CIOIN	100	258	0	0	9	266	1	258	0	533	100	258	0	0	1	258	9	266	0	533
KY21.Chr1.109	tr|F7A7P7|F7A7P7_CIOIN	100	258	0	0	11	268	1	258	0	530	100	258	0	0	1	258	11	268	0	530
KY21.Chr1.1090	tr|F6SEE3|F6SEE3_CIOIN	100	181	0	0	1	181	1	181	5.09e-134	371	100	181	0	0	1	181	1	181	7.96e-134	371
KY21.Chr1.1091	tr|F6SDP7|F6SDP7_CIOIN	97.905	525	6	2	1	520	33	557	0	1072	97.905	525	6	2	33	557	1	520	0	1072
KY21.Chr1.1093	tr|F6SDM6|F6SDM6_CIOIN	99.77	868	2	0	8	875	1	868	0	1810	99.77	868	2	0	1	868	8	875	0	1810
KY21.Chr1.1095	tr|F7BL69|F7BL69_CIOIN	99.832	597	1	0	3	599	1	597	0	1203	99.832	597	1	0	1	597	3	599	0	1203
KY21.Chr1.1096	tr|F7BKT8|F7BKT8_CIOIN	98.617	940	1	2	6	942	2	932	0	1916	98.617	940	1	2	2	932	6	942	0	1916
KY21.Chr1.1097	tr|F7BKI1|F7BKI1_CIOIN	100	150	0	0	3	152	1	150	5.67e-112	313	100	150	0	0	1	150	3	152	8.76e-112	313
KY21.Chr1.1098	tr|F6PI72|F6PI72_CIOIN	99.574	235	1	0	410	644	1	235	2.81e-171	486	99.574	235	1	0	1	235	410	644	1.61e-171	486
KY21.Chr1.11	tr|F6WIW4|F6WIW4_CIOIN	99.625	534	2	0	2	535	1	534	0	1099	99.625	534	2	0	1	534	2	535	0	1099
KY21.Chr1.110	tr|F7A7X6|F7A7X6_CIOIN	99.057	106	1	0	18	123	7	112	2.36e-73	216	99.057	106	1	0	7	112	18	123	2.28e-73	216
KY21.Chr1.1103	tr|Q1RPU5|Q1RPU5_CIOIN	99.845	645	1	0	13	657	1	645	0	1334	99.845	645	1	0	1	645	13	657	0	1334
KY21.Chr1.1104	tr|F7BKG7|F7BKG7_CIOIN	99.688	320	1	0	9	328	1	320	0	674	99.688	320	1	0	1	320	9	328	0	674
KY21.Chr1.1105	tr|H2XQB1|H2XQB1_CIOIN	98.953	191	2	0	29	219	1	191	1.18e-143	397	98.953	191	2	0	1	191	29	219	1.61e-143	397
KY21.Chr1.1106	tr|H2XNU8|H2XNU8_CIOIN	100	126	0	0	643	768	1	126	2.42e-86	267	100	126	0	0	1	126	643	768	6.21e-87	267
KY21.Chr1.1108	tr|F7BKF4|F7BKF4_CIOIN	99.37	476	3	0	13	488	1	476	0	987	99.37	476	3	0	1	476	13	488	0	987
KY21.Chr1.1109	tr|F6U1V3|F6U1V3_CIOIN	92.148	1401	13	6	66	1373	2	1398	0	2621	92.148	1401	13	6	2	1398	66	1373	0	2621
KY21.Chr1.1110	tr|H2XQW6|H2XQW6_CIOIN	99.674	307	1	0	4	310	1	307	0	616	99.674	307	1	0	1	307	4	310	0	616
KY21.Chr1.1112	tr|F6U7S8|F6U7S8_CIOIN	97.069	580	11	2	5	584	14	587	0	1165	97.069	580	11	2	14	587	5	584	0	1165
KY21.Chr1.1114	tr|F6U7P2|F6U7P2_CIOIN	99.02	204	2	0	205	408	1	204	1.84e-147	415	99.02	204	2	0	1	204	205	408	1.44e-147	415
KY21.Chr1.1116	tr|F6THZ9|F6THZ9_CIOIN	98.658	149	2	0	9	157	1	149	9.4e-109	309	98.658	149	2	0	1	149	9	157	8.73e-109	309
KY21.Chr1.1117	tr|F6U262|F6U262_CIOIN	84.625	813	39	6	3	750	1	792	0	1282	84.625	813	39	6	1	792	3	750	0	1281
KY21.Chr1.1119	tr|H2Y3A9|H2Y3A9_CIOIN	100	236	0	0	7	242	1	236	0	495	100	236	0	0	1	236	7	242	0	495
KY21.Chr1.112	tr|F6QG27|F6QG27_CIOIN	97.895	190	1	1	2	188	1	190	7.34e-135	379	97.895	190	1	1	1	190	2	188	7.18e-135	379
KY21.Chr1.1121	tr|F6THL0|F6THL0_CIOIN	99.873	785	1	0	92	876	1	785	0	1634	99.873	785	1	0	1	785	92	876	0	1634
KY21.Chr1.1124	tr|F6SVP7|F6SVP7_CIOIN	88.3	453	17	3	273	719	1	423	0	800	88.3	453	17	3	1	423	273	719	0	800
KY21.Chr1.1126	tr|F6SUU2|F6SUU2_CIOIN	78.888	1871	167	16	1	1698	1	1816	0	2882	76.603	1825	241	24	1	1761	1	1703	0	2707
KY21.Chr1.1128	tr|F6S8B5|F6S8B5_CIOIN	100	394	0	0	7	400	1	394	0	816	100	394	0	0	1	394	7	400	0	816
KY21.Chr1.1130	tr|F6XY03|F6XY03_CIOIN	98.634	732	0	1	113	844	1	722	0	1464	98.634	732	0	1	1	722	113	844	0	1464
KY21.Chr1.1131	tr|F6VBW9|F6VBW9_CIOIN	100	270	0	0	4	273	1	270	0	563	100	270	0	0	1	270	4	273	0	563
KY21.Chr1.1133	tr|A0A1W2WKN2|A0A1W2WKN2_CIOIN	99.091	550	5	0	40	589	1	550	0	1112	99.091	550	5	0	1	550	40	589	0	1112
KY21.Chr1.1134	tr|F6W3K8|F6W3K8_CIOIN	100	233	0	0	26	258	1	233	4.28e-173	475	100	233	0	0	1	233	26	258	6.05e-173	475
KY21.Chr1.1135	tr|F6UM75|F6UM75_CIOIN	96.565	1514	9	1	2	1472	1	1514	0	3046	96.565	1514	9	1	1	1514	2	1472	0	3046
KY21.Chr1.1137	tr|H2XZ07|H2XZ07_CIOIN	100	130	0	0	7	136	1	130	4.19e-96	271	100	130	0	0	1	130	7	136	6.27e-96	271
KY21.Chr1.1138	tr|Q8T883|Q8T883_CIOIN	99.77	435	1	0	16	450	1	435	0	889	99.77	435	1	0	1	435	16	450	0	889
KY21.Chr1.1139	tr|F6UKU4|F6UKU4_CIOIN	100	257	0	0	1	257	1	257	0	521	100	257	0	0	1	257	1	257	0	521
KY21.Chr1.1140	tr|F6PIG9|F6PIG9_CIOIN	100	208	0	0	7	214	1	208	4.32e-157	431	100	208	0	0	1	208	7	214	6.57e-157	431
KY21.Chr1.1141	tr|H2XQK3|H2XQK3_CIOIN	97	100	3	0	68	167	9	108	9.31e-69	209	97	100	3	0	9	108	68	167	4.77e-69	209
KY21.Chr1.1142	tr|F6RZG4|F6RZG4_CIOIN	97.788	226	0	1	264	484	1	226	9.52e-164	460	97.788	226	0	1	1	226	264	484	6.96e-164	460
KY21.Chr1.1144	tr|F6RZ52|F6RZ52_CIOIN	95.938	517	2	1	8	524	1	498	0	1022	95.938	517	2	1	1	498	8	524	0	1022
KY21.Chr1.1146	tr|F6RZ45|F6RZ45_CIOIN	91.149	644	4	1	40	683	1	591	0	1185	91.149	644	4	1	1	591	40	683	0	1185
KY21.Chr1.1147	tr|H2XXW6|H2XXW6_CIOIN	100	187	0	0	4	190	1	187	9.85e-138	381	100	187	0	0	1	187	4	190	1.52e-137	381
KY21.Chr1.1148	tr|F6W3N0|F6W3N0_CIOIN	94.454	595	2	1	8	571	1	595	0	1161	94.454	595	2	1	1	595	8	571	0	1161
KY21.Chr1.1149	tr|F6RYU3|F6RYU3_CIOIN	100	352	0	0	23	374	1	352	0	731	100	352	0	0	1	352	23	374	0	731
KY21.Chr1.115	tr|F6YAZ4|F6YAZ4_CIOIN	99.174	121	1	0	7	127	1	121	5.11e-87	247	99.174	121	1	0	1	121	7	127	7.61e-87	247
KY21.Chr1.1150	tr|F7B875|F7B875_CIOIN	100	744	0	0	2	745	1	744	0	1529	100	744	0	0	1	744	2	745	0	1529
KY21.Chr1.1151	tr|H2XRR5|H2XRR5_CIOIN	98.131	214	4	0	20	233	1	214	7.88e-152	423	98.131	214	4	0	1	214	20	233	8.09e-152	423
KY21.Chr1.1153	tr|Q68A30|Q68A30_CIOIN	100	360	0	0	47	406	1	360	0	757	100	360	0	0	1	360	47	406	0	757
KY21.Chr1.1154	tr|F6TTB4|F6TTB4_CIOIN	99.385	325	2	0	1	325	6	330	0	676	99.385	325	2	0	6	330	1	325	0	676
KY21.Chr1.1156	tr|F6W2N4|F6W2N4_CIOIN	99.318	440	3	0	8	447	1	440	0	916	99.318	440	3	0	1	440	8	447	0	916
KY21.Chr1.1157	tr|F6WQ49|F6WQ49_CIOIN	100	196	0	0	8	203	1	196	2.35e-145	401	100	196	0	0	1	196	8	203	3.55e-145	401
KY21.Chr1.1159	tr|F6XU54|F6XU54_CIOIN	100	252	0	0	12	263	1	252	0	528	100	252	0	0	1	252	12	263	0	528
KY21.Chr1.116	tr|F6YU98|F6YU98_CIOIN	100	243	0	0	6	248	1	243	0	503	100	243	0	0	1	243	6	248	0	503
KY21.Chr1.1160	tr|F6XTY4|F6XTY4_CIOIN	100	484	0	0	7	490	1	484	0	1009	100	484	0	0	1	484	7	490	0	1009
KY21.Chr1.1162	tr|H2XRU0|H2XRU0_CIOIN	93.563	901	0	3	59	959	1	843	0	1714	93.563	901	0	3	1	843	59	959	0	1714
KY21.Chr1.1163	tr|F6XTV8|F6XTV8_CIOIN	100	298	0	0	4	301	1	298	0	618	100	298	0	0	1	298	4	301	0	618
KY21.Chr1.1165	tr|F6XTS5|F6XTS5_CIOIN	94.821	251	13	0	351	601	1	251	1.65e-177	501	94.821	251	13	0	1	251	351	601	1.08e-177	501
KY21.Chr1.1166	tr|F6XTP5|F6XTP5_CIOIN	100	234	0	0	5	238	1	234	2.19e-178	488	100	234	0	0	1	234	5	238	3.37e-178	488
KY21.Chr1.1167	tr|A0A1W3JW04|A0A1W3JW04_CIOIN	100	143	0	0	5	147	1	143	1e-105	296	100	143	0	0	1	143	5	147	1.52e-105	296
KY21.Chr1.1168	tr|H2XY35|H2XY35_CIOIN	83.396	265	2	1	12	276	2	224	7.97e-156	432	83.396	265	2	1	2	224	12	276	1e-155	432
KY21.Chr1.1169	tr|F6XTM9|F6XTM9_CIOIN	100	154	0	0	152	305	1	154	4.12e-115	327	100	154	0	0	1	154	152	305	3.25e-115	327
KY21.Chr1.1171	tr|F7AA47|F7AA47_CIOIN	97.521	242	6	0	302	543	1	242	9.42e-179	501	97.521	242	6	0	1	242	302	543	6.57e-179	501
KY21.Chr1.1172	tr|F7AAC1|F7AAC1_CIOIN	91.446	491	3	3	29	496	1	475	0	874	91.446	491	3	3	1	475	29	496	0	874
KY21.Chr1.1173	tr|F7A9Z4|F7A9Z4_CIOIN	100	275	0	0	89	363	1	275	0	583	100	275	0	0	1	275	89	363	0	583
KY21.Chr1.1174	tr|F6Z7K0|F6Z7K0_CIOIN	99.008	504	3	1	9	510	1	504	0	1018	99.008	504	3	1	1	504	9	510	0	1018
KY21.Chr1.1176	tr|A0A1W3JJQ5|A0A1W3JJQ5_CIOIN	100	206	0	0	3	208	1	206	5.32e-157	431	100	206	0	0	1	206	3	208	8.25e-157	431
KY21.Chr1.1177	tr|F6XSL1|F6XSL1_CIOIN	94.983	897	4	3	11	866	1	897	0	1759	94.983	897	4	3	1	897	11	866	0	1759
KY21.Chr1.118	tr|H2Y2R1|H2Y2R1_CIOIN	78.603	458	96	2	124	579	1	458	0	768	78.603	458	96	2	1	458	124	579	0	768
KY21.Chr1.1180	tr|H2Y320|H2Y320_CIOIN	99.095	221	2	0	38	258	16	236	3.46e-166	457	99.095	221	2	0	16	236	38	258	4.95e-166	457
KY21.Chr1.1181	tr|F6X3X4|F6X3X4_CIOIN	100	304	0	0	11	314	1	304	0	629	100	304	0	0	1	304	11	314	0	629
KY21.Chr1.1187	tr|F6XYH1|F6XYH1_CIOIN	93.012	415	5	2	1482	1872	1	415	0	792	93.012	415	5	2	1	415	1482	1872	0	792
KY21.Chr1.1189	tr|F6WQR3|F6WQR3_CIOIN	100	192	0	0	4	195	1	192	3.69e-146	402	100	192	0	0	1	192	4	195	5.68e-146	402
KY21.Chr1.1190	tr|H2XZB0|H2XZB0_CIOIN	100	260	0	0	220	479	1	260	0	543	100	260	0	0	1	260	220	479	0	543
KY21.Chr1.1191	tr|F6X3W6|F6X3W6_CIOIN	90.21	143	6	2	1016	1158	33	167	3.9e-76	247	90.21	143	6	2	33	167	1016	1158	6.52e-77	247
KY21.Chr1.1192	tr|Q1RLF9|Q1RLF9_CIOIN	99.596	1237	5	0	13	1249	1	1237	0	2573	99.596	1237	5	0	1	1237	13	1249	0	2573
KY21.Chr1.1193	tr|H2Y3L5|H2Y3L5_CIOIN	65	240	43	2	150	389	31	229	1.8e-100	302	65	240	43	2	31	229	150	389	1.29e-99	299
KY21.Chr1.1194	tr|H2XMS2|H2XMS2_CIOIN	88.35	103	3	1	48	150	1	94	3.76e-59	177	88.35	103	3	1	1	94	48	150	3.69e-59	177
KY21.Chr1.1198	tr|F6Y4P7|F6Y4P7_CIOIN	98.99	297	3	0	102	398	14	310	0	605	98.99	297	3	0	14	310	102	398	0	605
KY21.Chr1.1199	tr|F6X3V2|F6X3V2_CIOIN	100	566	0	0	5	570	1	566	0	1197	100	566	0	0	1	566	5	570	0	1197
KY21.Chr1.12	tr|F6QLS9|F6QLS9_CIOIN	98.182	220	4	0	12	231	1	220	2.97e-150	433	98.182	220	4	0	1	220	12	231	1.48e-150	433
KY21.Chr1.120	tr|H2XQW2|H2XQW2_CIOIN	98.45	129	0	1	5	133	1	127	3.14e-87	248	98.45	129	0	1	1	127	5	133	4.69e-87	248
KY21.Chr1.1200	tr|F6X3B3|F6X3B3_CIOIN	80.812	271	26	3	3	261	1	257	2.66e-142	398	80.812	271	26	3	1	257	3	261	1.26e-141	397
KY21.Chr1.1201	tr|H2Y2F3|H2Y2F3_CIOIN	86.765	544	12	3	118	661	2	485	0	764	86.765	544	12	3	2	485	118	661	0	767
