ID_protein	gene	gene_name	PE	SV
tr|A0A1W2W0N1|A0A1W2W0N1_CIOIN	3-oxo-5-alpha-steroid 4-dehydrogenase	LOC100186253	PE=3	SV=1
tr|A0A1W2W793|A0A1W2W793_CIOIN	E3 ubiquitin-protein ligase	LOC100175838	PE=4	SV=1
tr|A0A1W2WAR8|A0A1W2WAR8_CIOIN	Acireductone dioxygenase	LOC100183249	PE=3	SV=1
tr|A0A1W2WF56|A0A1W2WF56_CIOIN	Phosphatidylserine synthase	LOC100179127	PE=3	SV=1
tr|A0A1W2WHS9|A0A1W2WHS9_CIOIN	Amidophosphoribosyltransferase	LOC100179384	PE=3	SV=1
tr|A0A1W2WKY9|A0A1W2WKY9_CIOIN	Tubulin alpha chain	LOC100182743	PE=3	SV=1
tr|A0A1W3JEV5|A0A1W3JEV5_CIOIN	Eukaryotic translation initiation factor 6	LOC100178387	PE=3	SV=1
tr|A0A1W5BDS1|A0A1W5BDS1_CIOIN	RNA-binding protein 8A	LOC100185146	PE=3	SV=1
tr|A0A1W5BL25|A0A1W5BL25_CIOIN	Metalloprotease TIKI	LOC100182160	PE=3	SV=1
tr|A0A1W5BLB5|A0A1W5BLB5_CIOIN	Alkaline phosphatase	ciap	PE=3	SV=1
tr|F6PH03|F6PH03_CIOIN	Cadherin domain-containing protein	ci-cadherin	PE=4	SV=2
tr|F6PH07|F6PH07_CIOIN	cAMP-dependent protein kinase	LOC100176009	PE=3	SV=2
tr|F6PJL7|F6PJL7_CIOIN	non-specific serine/threonine protein kinase	LOC100178703	PE=3	SV=2
tr|F6PJX9|F6PJX9_CIOIN	E3 ubiquitin-protein ligase E3D	LOC100182071	PE=4	SV=2
tr|F6PLS3|F6PLS3_CIOIN	Anamorsin homolog		PE=3	SV=2
tr|F6PLX9|F6PLX9_CIOIN	GDP-fucose protein O-fucosyltransferase 1		PE=3	SV=2
tr|F6PPI4|F6PPI4_CIOIN	Hypoxanthine phosphoribosyltransferase	LOC100181600	PE=3	SV=2
tr|F6PQ94|F6PQ94_CIOIN	Bardet-Biedl syndrome 2 protein homolog	LOC100184123	PE=4	SV=2
tr|F6PR96|F6PR96_CIOIN	"GTP:AMP phosphotransferase, mitochondrial"	LOC100182043	PE=3	SV=2
tr|F6PV45|F6PV45_CIOIN	"Alpha-1,4 glucan phosphorylase"	LOC100176531	PE=3	SV=2
tr|F6PVM8|F6PVM8_CIOIN	Phospholipase A2	LOC100175981	PE=3	SV=2
tr|F6PVQ7|F6PVQ7_CIOIN	Phospholipase A2	LOC100175981	PE=3	SV=1
tr|F6PZE7|F6PZE7_CIOIN	ATP-dependent 6-phosphofructokinase		PE=3	SV=2
tr|F6Q5D4|F6Q5D4_CIOIN	"Alpha-1,3/1,6-mannosyltransferase ALG2"	LOC100180226	PE=3	SV=2
tr|F6Q9P1|F6Q9P1_CIOIN	Adenylate kinase isoenzyme 6 homolog	LOC100177393	PE=3	SV=2
tr|F6QBE1|F6QBE1_CIOIN	Fatty acid 2-hydroxylase		PE=3	SV=2
tr|F6QCF9|F6QCF9_CIOIN	Sodium channel protein		PE=3	SV=2
tr|F6QEZ7|F6QEZ7_CIOIN	Cytosolic carboxypeptidase-like protein 5	LOC100181588	PE=3	SV=2
tr|F6QF37|F6QF37_CIOIN	Adenylosuccinate synthetase		PE=3	SV=2
tr|F6QFH5|F6QFH5_CIOIN	Isocitrate dehydrogenase [NADP]	LOC100184016	PE=3	SV=1
tr|F6QH68|F6QH68_CIOIN	dimethylargininase	LOC100179243	PE=3	SV=1
tr|F6QI83|F6QI83_CIOIN	Flap endonuclease 1	LOC100181411	PE=3	SV=1
tr|F6QIF4|F6QIF4_CIOIN	Telomerase reverse transcriptase	LOC100187276	PE=3	SV=2
tr|F6QIK7|F6QIK7_CIOIN	"Translation factor GUF1 homolog, mitochondrial"		PE=3	SV=2
tr|F6QIR4|F6QIR4_CIOIN	protein kinase C	LOC100175164	PE=3	SV=2
tr|F6QIZ5|F6QIZ5_CIOIN	protein kinase C	LOC100175164	PE=3	SV=2
tr|F6QK56|F6QK56_CIOIN	Formimidoyltransferase-cyclodeaminase	LOC100184708	PE=3	SV=2
tr|F6QNQ9|F6QNQ9_CIOIN	FERM domain-containing protein		PE=4	SV=2
tr|F6QQF5|F6QQF5_CIOIN	receptor protein-tyrosine kinase	fgfr	PE=4	SV=2
tr|F6QR87|F6QR87_CIOIN	receptor protein-tyrosine kinase		PE=4	SV=2
tr|F6QR95|F6QR95_CIOIN	receptor protein-tyrosine kinase		PE=4	SV=2
tr|F6QTW3|F6QTW3_CIOIN	Tyrosine-protein kinase		PE=3	SV=2
tr|F6QWS2|F6QWS2_CIOIN	Protein disulfide-isomerase	LOC100184179	PE=3	SV=2
tr|F6QY94|F6QY94_CIOIN	enoyl-CoA hydratase	LOC100182913	PE=3	SV=2
tr|F6R1K9|F6R1K9_CIOIN	3-oxo-5-alpha-steroid 4-dehydrogenase	LOC100176622	PE=3	SV=2
tr|F6R2Y1|F6R2Y1_CIOIN	Receptor protein-tyrosine kinase		PE=3	SV=1
tr|F6R3I9|F6R3I9_CIOIN	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase		PE=3	SV=2
tr|F6R3J8|F6R3J8_CIOIN	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase		PE=3	SV=2
tr|F6R3M6|F6R3M6_CIOIN	Peptidylglycine monooxygenase		PE=3	SV=2
tr|F6R4Z1|F6R4Z1_CIOIN	"Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase"	LOC100182434	PE=3	SV=2
tr|F6R5L0|F6R5L0_CIOIN	ribose-phosphate diphosphokinase		PE=3	SV=2
tr|F6R6F3|F6R6F3_CIOIN	non-specific serine/threonine protein kinase		PE=3	SV=2
tr|F6R7T5|F6R7T5_CIOIN	histone acetyltransferase		PE=4	SV=2
tr|F6R8H4|F6R8H4_CIOIN	"C-1-tetrahydrofolate synthase, cytoplasmic"	LOC100185664	PE=3	SV=2
tr|F6R8V3|F6R8V3_CIOIN	Eukaryotic translation initiation factor 3 subunit A		PE=3	SV=2
tr|F6R8X1|F6R8X1_CIOIN	RuvB-like helicase	LOC100183367	PE=3	SV=1
tr|F6RA65|F6RA65_CIOIN	non-specific serine/threonine protein kinase		PE=3	SV=2
tr|F6RCP1|F6RCP1_CIOIN	Sphingomyelin phosphodiesterase	LOC100186563	PE=3	SV=2
tr|F6RCR9|F6RCR9_CIOIN	Acetyl-CoA carboxylase kinase	LOC100184788	PE=3	SV=2
tr|F6RG08|F6RG08_CIOIN	Coiled-coil domain-containing protein 151		PE=4	SV=2
tr|F6RHA1|F6RHA1_CIOIN	RuvB-like helicase	LOC100177411	PE=3	SV=1
tr|F6RID7|F6RID7_CIOIN	Triosephosphate isomerase	LOC100183090	PE=3	SV=1
tr|F6RKM9|F6RKM9_CIOIN	DNA replication licensing factor MCM6		PE=3	SV=2
tr|F6RKQ2|F6RKQ2_CIOIN	Pre-mRNA-processing factor 19		PE=3	SV=2
tr|F6RKU1|F6RKU1_CIOIN	Alkylglycerone-phosphate synthase	LOC100175580	PE=3	SV=2
tr|F6RLA4|F6RLA4_CIOIN	Peptidase metallopeptidase domain-containing protein		PE=3	SV=2
tr|F6RN60|F6RN60_CIOIN	ATPase ASNA1 homolog		PE=3	SV=1
tr|F6RQZ5|F6RQZ5_CIOIN	Dolichyl-phosphate-mannose--protein mannosyltransferase	LOC100181205	PE=3	SV=2
tr|F6RRN2|F6RRN2_CIOIN	Fibroblast growth factor	fgf4/5/6	PE=3	SV=1
tr|F6RRU7|F6RRU7_CIOIN	Peptidase metallopeptidase domain-containing protein		PE=3	SV=2
tr|F6RS66|F6RS66_CIOIN	non-specific serine/threonine protein kinase		PE=3	SV=2
tr|F6RUN6|F6RUN6_CIOIN	non-specific serine/threonine protein kinase	LOC100184515	PE=3	SV=2
tr|F6RZA6|F6RZA6_CIOIN	Integrin-linked protein kinase	LOC100184368	PE=4	SV=2
tr|F6S1S7|F6S1S7_CIOIN	Ras-related protein Rab-5B	LOC100182193	PE=4	SV=2
tr|F6S5Z8|F6S5Z8_CIOIN	NAD(P)H oxidase (H2O2-forming)		PE=3	SV=1
tr|F6S6E8|F6S6E8_CIOIN	Methionine aminopeptidase 2		PE=3	SV=2
tr|F6S8I5|F6S8I5_CIOIN	Frizzled receptor	fz3/6	PE=3	SV=2
tr|F6SE21|F6SE21_CIOIN	cGMP-dependent protein kinase		PE=3	SV=2
tr|F6SEM6|F6SEM6_CIOIN	SAGA-associated factor 11 homolog		PE=3	SV=2
tr|F6SHN0|F6SHN0_CIOIN	Beta-hexosaminidase	LOC100178428	PE=3	SV=1
tr|F6SI53|F6SI53_CIOIN	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"		PE=3	SV=2
tr|F6SK29|F6SK29_CIOIN	Small ribosomal subunit protein RACK1	LOC100179473	PE=3	SV=2
tr|F6SLD6|F6SLD6_CIOIN	Deacetylase sirtuin-type domain-containing protein		PE=4	SV=2
tr|F6SPL5|F6SPL5_CIOIN	Elongation of very long chain fatty acids protein		PE=3	SV=2
tr|F6SS61|F6SS61_CIOIN	Phosphomannomutase		PE=3	SV=2
tr|F6SSI2|F6SSI2_CIOIN	Protein unc-13 homolog B-like	LOC100176945	PE=4	SV=1
tr|F6SUM0|F6SUM0_CIOIN	"4-aminobutyrate aminotransferase, mitochondrial"		PE=3	SV=2
tr|F6SW71|F6SW71_CIOIN	Guanylate cyclase		PE=3	SV=2
tr|F6SWH7|F6SWH7_CIOIN	Vacuolar protein sorting-associated protein 41 homolog	zf(ring)-20	PE=3	SV=2
tr|F6SWZ3|F6SWZ3_CIOIN	Complement C2	bf-3	PE=4	SV=2
tr|F6SXM4|F6SXM4_CIOIN	78 kDa glucose-regulated protein	LOC101242470	PE=3	SV=2
tr|F6SYL0|F6SYL0_CIOIN	Tubulin beta chain	LOC100184511	PE=3	SV=1
tr|F6SZU4|F6SZU4_CIOIN	Long-chain-fatty-acid--CoA ligase		PE=3	SV=2
tr|F6T060|F6T060_CIOIN	Long-chain-fatty-acid--CoA ligase	LOC100185939	PE=3	SV=2
tr|F6T0K4|F6T0K4_CIOIN	RNA helicase	LOC104265829	PE=3	SV=1
tr|F6T1J8|F6T1J8_CIOIN	NADPH--cytochrome P450 reductase	LOC100175298	PE=3	SV=2
tr|F6T4U7|F6T4U7_CIOIN	Polyprenol reductase	LOC100181505	PE=3	SV=1
tr|F6T5V0|F6T5V0_CIOIN	UDP-glucose 6-dehydrogenase		PE=3	SV=2
tr|F6T718|F6T718_CIOIN	dual-specificity kinase		PE=3	SV=2
tr|F6TDZ5|F6TDZ5_CIOIN	NADPH-dependent diflavin oxidoreductase 1	LOC100179351	PE=3	SV=2
tr|F6TGU6|F6TGU6_CIOIN	Protein-tyrosine-phosphatase		PE=3	SV=2
tr|F6THL0|F6THL0_CIOIN	DNA replication licensing factor MCM4	LOC100176589	PE=3	SV=2
tr|F6TIJ9|F6TIJ9_CIOIN	Metalloendopeptidase		PE=4	SV=2
tr|F6TIR0|F6TIR0_CIOIN	Dihydropyrimidine dehydrogenase [NADP(+)]		PE=3	SV=2
tr|F6TMD1|F6TMD1_CIOIN	Aprataxin		PE=4	SV=2
tr|F6TML4|F6TML4_CIOIN	General transcription and DNA repair factor IIH helicase subunit XPB	LOC100183594	PE=3	SV=2
tr|F6TQG1|F6TQG1_CIOIN	Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase	LOC100175025	PE=3	SV=1
tr|F6TSK2|F6TSK2_CIOIN	Beta-hexosaminidase	LOC100187142	PE=3	SV=2
tr|F6TTZ5|F6TTZ5_CIOIN	Leukotriene A(4) hydrolase	LOC100176354	PE=3	SV=2
tr|F6TV83|F6TV83_CIOIN	non-specific protein-tyrosine kinase		PE=4	SV=2
tr|F6TWU9|F6TWU9_CIOIN	Pyruvate carboxylase	LOC100181512	PE=4	SV=2
tr|F6TXT5|F6TXT5_CIOIN	DNA-(apurinic or apyrimidinic site) lyase	LOC100176033	PE=3	SV=2
tr|F6TYL9|F6TYL9_CIOIN	"Tryptophan 2,3-dioxygenase"	LOC100181631	PE=3	SV=2
tr|F6TZ29|F6TZ29_CIOIN	Ubiquitin-like modifier-activating enzyme ATG7		PE=3	SV=2
tr|F6TZR8|F6TZR8_CIOIN	C2 domain-containing protein		PE=4	SV=2
tr|F6TZX4|F6TZX4_CIOIN	ATP-dependent RNA helicase	LOC100178584	PE=3	SV=2
tr|F6U1G1|F6U1G1_CIOIN	GMP reductase	LOC100182436	PE=3	SV=1
tr|F6U1Q3|F6U1Q3_CIOIN	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase	LOC100184399	PE=3	SV=2
tr|F6U397|F6U397_CIOIN	Dynein regulatory complex subunit 4	LOC100182123	PE=3	SV=2
tr|F6U3T3|F6U3T3_CIOIN	Ribosomal protein S6 kinase		PE=3	SV=2
tr|F6U4V1|F6U4V1_CIOIN	E1 ubiquitin-activating enzyme	LOC100176463	PE=3	SV=2
tr|F6U6M4|F6U6M4_CIOIN	Methylcytosine dioxygenase TET		PE=3	SV=2
tr|F6U6T9|F6U6T9_CIOIN	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase	LOC100178473	PE=3	SV=2
tr|F6U7R9|F6U7R9_CIOIN	P-type Cu(+) transporter		PE=3	SV=2
tr|F6U8B5|F6U8B5_CIOIN	Uridine-cytidine kinase	LOC100186604	PE=3	SV=2
tr|F6U8C7|F6U8C7_CIOIN	Eukaryotic translation initiation factor 3 subunit B	LOC100182767	PE=3	SV=2
tr|F6UA87|F6UA87_CIOIN	"Dihydroorotate dehydrogenase (quinone), mitochondrial"		PE=3	SV=2
tr|F6UAX7|F6UAX7_CIOIN	Splicing factor U2AF subunit	LOC100175452	PE=3	SV=2
tr|F6UB54|F6UB54_CIOIN	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase	LOC100175762	PE=3	SV=2
tr|F6UCT5|F6UCT5_CIOIN	Nitric oxide synthase	LOC100183039	PE=3	SV=2
tr|F6UD40|F6UD40_CIOIN	Eyes absent homolog		PE=3	SV=2
tr|F6UDK5|F6UDK5_CIOIN	Nitric oxide synthase	LOC100183039	PE=3	SV=2
tr|F6UET6|F6UET6_CIOIN	Delta-1-pyrroline-5-carboxylate synthase		PE=3	SV=2
tr|F6UIW1|F6UIW1_CIOIN	Probable methylthioribulose-1-phosphate dehydratase		PE=3	SV=1
tr|F6UJI9|F6UJI9_CIOIN	protein-tyrosine-phosphatase		PE=3	SV=2
tr|F6UKC4|F6UKC4_CIOIN	"Elongation factor G, mitochondrial"	LOC100184797	PE=3	SV=2
tr|F6URD6|F6URD6_CIOIN	Phospholipase A2		PE=3	SV=2
tr|F6USX3|F6USX3_CIOIN	DNA replication ATP-dependent helicase/nuclease		PE=3	SV=2
tr|F6UTV1|F6UTV1_CIOIN	"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial"		PE=3	SV=2
tr|F6UV18|F6UV18_CIOIN	Tubulin alpha chain	LOC100186959	PE=3	SV=1
tr|F6UX10|F6UX10_CIOIN	DNA ligase (ATP)		PE=3	SV=2
tr|F6UZS7|F6UZS7_CIOIN	Glycerol-3-phosphate dehydrogenase [NAD(+)]	LOC100181104	PE=3	SV=2
tr|F6V1C0|F6V1C0_CIOIN	Peptide-methionine (R)-S-oxide reductase	LOC100184460	PE=3	SV=1
tr|F6V1Q0|F6V1Q0_CIOIN	Calx-beta domain-containing protein		PE=3	SV=2
tr|F6V2A4|F6V2A4_CIOIN	Inhibitor of growth protein	LOC100184129	PE=3	SV=1
tr|F6V519|F6V519_CIOIN	Xanthine dehydrogenase/oxidase		PE=3	SV=2
tr|F6V5U6|F6V5U6_CIOIN	CTP synthase		PE=3	SV=2
tr|F6V5W9|F6V5W9_CIOIN	CTP synthase		PE=3	SV=2
tr|F6V6C3|F6V6C3_CIOIN	Alkaline ceramidase	LOC100178882	PE=3	SV=2
tr|F6V6N1|F6V6N1_CIOIN	EF-hand domain-containing protein		PE=3	SV=2
tr|F6V6S8|F6V6S8_CIOIN	Superoxide dismutase	LOC100182293	PE=3	SV=1
tr|F6V771|F6V771_CIOIN	CAAX prenyl protease	LOC100176674	PE=3	SV=2
tr|F6V873|F6V873_CIOIN	Wee1-like protein kinase	LOC100186458	PE=3	SV=2
tr|F6VBU5|F6VBU5_CIOIN	Signal recognition particle 54 kDa protein		PE=3	SV=2
tr|F6VD75|F6VD75_CIOIN	Crossover junction endonuclease MUS81		PE=3	SV=2
tr|F6VF91|F6VF91_CIOIN	S-adenosylmethionine decarboxylase proenzyme	LOC100176333	PE=3	SV=2
tr|F6VL61|F6VL61_CIOIN	Asparagine synthetase [glutamine-hydrolyzing]	LOC100185185	PE=4	SV=1
tr|F6VLN4|F6VLN4_CIOIN	Transitional endoplasmic reticulum ATPase	LOC100187157	PE=3	SV=2
tr|F6VMY2|F6VMY2_CIOIN	Ras-related protein Rab-14	LOC100176126	PE=3	SV=1
tr|F6VPT6|F6VPT6_CIOIN	Decapping nuclease	LOC100183246	PE=3	SV=2
tr|F6VRU1|F6VRU1_CIOIN	enoyl-CoA hydratase	LOC100181980	PE=3	SV=2
tr|F6VYM6|F6VYM6_CIOIN	Peptidyl-prolyl cis-trans isomerase	LOC100176560	PE=3	SV=1
tr|F6W0W1|F6W0W1_CIOIN	Xanthine dehydrogenase/oxidase	LOC100181350	PE=3	SV=2
tr|F6W0Y5|F6W0Y5_CIOIN	Xanthine dehydrogenase/oxidase	LOC100181350	PE=3	SV=2
tr|F6W188|F6W188_CIOIN	Katanin p60 ATPase-containing subunit A-like 2	LOC100184384	PE=3	SV=2
tr|F6W1D2|F6W1D2_CIOIN	Katanin p60 ATPase-containing subunit A-like 2	LOC100184384	PE=3	SV=2
tr|F6W1F7|F6W1F7_CIOIN	non-specific serine/threonine protein kinase	LOC101242287	PE=3	SV=2
tr|F6W1I6|F6W1I6_CIOIN	Calcium-transporting ATPase		PE=3	SV=2
tr|F6W282|F6W282_CIOIN	DNA-(apurinic or apyrimidinic site) endonuclease		PE=3	SV=1
tr|F6W2G3|F6W2G3_CIOIN	UDP-glucose 4-epimerase	LOC100177170	PE=3	SV=1
tr|F6W2M8|F6W2M8_CIOIN	Phosphoglycerate mutase	LOC100176359	PE=3	SV=2
sp|F6W3G8|MTND_CIOIN	Acireductone dioxygenase		PE=3	SV=1
tr|F6WAB5|F6WAB5_CIOIN	Inhibitor of growth protein	LOC100182325	PE=3	SV=2
tr|F6WBA4|F6WBA4_CIOIN	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase	LOC100185972	PE=3	SV=2
tr|F6WCR1|F6WCR1_CIOIN	DNA polymerase	LOC100178968	PE=3	SV=2
tr|F6WDR9|F6WDR9_CIOIN	Serine/threonine-protein kinase receptor	tgfbr-iia	PE=3	SV=2
tr|F6WF86|F6WF86_CIOIN	receptor protein serine/threonine kinase		PE=3	SV=2
tr|F6WFB4|F6WFB4_CIOIN	[heparan sulfate]-glucosamine N-sulfotransferase		PE=3	SV=2
tr|F6WH82|F6WH82_CIOIN	Phosphoserine aminotransferase	LOC100183539	PE=3	SV=2
tr|F6WJS6|F6WJS6_CIOIN	NAD(P)H oxidase (H2O2-forming)		PE=3	SV=2
tr|F6WK89|F6WK89_CIOIN	NAD(P)H oxidase (H2O2-forming)		PE=3	SV=2
tr|F6WKG4|F6WKG4_CIOIN	NAD(P)H oxidase (H2O2-forming)		PE=3	SV=2
tr|F6WLN1|F6WLN1_CIOIN	Double-strand break repair protein MRE11	LOC100185652	PE=3	SV=2
tr|F6WNE0|F6WNE0_CIOIN	Myosin VIIa		PE=3	SV=2
tr|F6WPY5|F6WPY5_CIOIN	Pyridoxal kinase	LOC100178162	PE=3	SV=1
tr|F6WQE3|F6WQE3_CIOIN	m7GpppX diphosphatase		PE=3	SV=2
tr|F6WQN6|F6WQN6_CIOIN	Phospholipase A2		PE=3	SV=2
tr|F6WQS5|F6WQS5_CIOIN	Endoplasmic reticulum junction formation protein lunapark	LOC100180661	PE=3	SV=1
tr|F6WR85|F6WR85_CIOIN	Dihydrolipoyl dehydrogenase		PE=3	SV=1
tr|F6WRV9|F6WRV9_CIOIN	Folylpolyglutamate synthase		PE=3	SV=2
tr|F6WTE3|F6WTE3_CIOIN	"60 kDa heat shock protein, mitochondrial"		PE=3	SV=2
tr|F6WUP4|F6WUP4_CIOIN	non-specific protein-tyrosine kinase		PE=4	SV=2
tr|F6WUQ7|F6WUQ7_CIOIN	DNA polymerase epsilon catalytic subunit		PE=3	SV=2
tr|F6WWY7|F6WWY7_CIOIN	KIND domain-containing protein		PE=3	SV=2
tr|F6WZZ7|F6WZZ7_CIOIN	Guanylate cyclase		PE=3	SV=2
tr|F6X0I3|F6X0I3_CIOIN	S-(hydroxymethyl)glutathione dehydrogenase	adh3	PE=3	SV=1
tr|F6X211|F6X211_CIOIN	Calcium-transporting ATPase	LOC100180619	PE=3	SV=1
tr|F6X2C4|F6X2C4_CIOIN	Protein SEC13 homolog	LOC100182407	PE=3	SV=2
sp|F6X2V8|MTAP_CIOIN	S-methyl-5'-thioadenosine phosphorylase		PE=3	SV=1
tr|F6X3X4|F6X3X4_CIOIN	Solute carrier family 25 member 11		PE=3	SV=2
tr|F6X5Q9|F6X5Q9_CIOIN	Tafazzin family protein	LOC100181680	PE=3	SV=1
tr|F6XBM6|F6XBM6_CIOIN	NAD(P)H oxidase (H2O2-forming)		PE=3	SV=2
tr|F6XBQ1|F6XBQ1_CIOIN	NAD(P)H oxidase (H2O2-forming)		PE=3	SV=2
tr|F6XBS5|F6XBS5_CIOIN	Hedgehog protein		PE=3	SV=1
tr|F6XCZ8|F6XCZ8_CIOIN	Tubulin alpha chain	LOC100176736	PE=3	SV=1
tr|F6XDI5|F6XDI5_CIOIN	V-type proton ATPase subunit	LOC100187083	PE=3	SV=1
tr|F6XDT3|F6XDT3_CIOIN	Adenosine kinase	LOC100175447	PE=3	SV=2
tr|F6XE85|F6XE85_CIOIN	Cytokine-like nuclear factor N-PAC	LOC100180692	PE=3	SV=1
tr|F6XEJ6|F6XEJ6_CIOIN	Translin		PE=3	SV=2
tr|F6XG93|F6XG93_CIOIN	Mitogen-activated protein kinase		PE=3	SV=2
tr|F6XIK7|F6XIK7_CIOIN	Tyrosine-protein phosphatase non-receptor type		PE=3	SV=2
tr|F6XIP9|F6XIP9_CIOIN	Eukaryotic translation initiation factor 3 subunit D	LOC100181450	PE=3	SV=1
tr|F6XJ08|F6XJ08_CIOIN	Lysine--tRNA ligase	LOC100185662	PE=3	SV=2
tr|F6XJD6|F6XJD6_CIOIN	cGMP-dependent protein kinase	LOC100184124	PE=3	SV=2
tr|F6XKA2|F6XKA2_CIOIN	tRNA (cytosine(34)-C(5))-methyltransferase		PE=3	SV=2
tr|F6XKB7|F6XKB7_CIOIN	tRNA (cytosine(34)-C(5))-methyltransferase		PE=3	SV=2
tr|F6XKK7|F6XKK7_CIOIN	Diacylglycerol kinase		PE=3	SV=2
tr|F6XN27|F6XN27_CIOIN	HECT-type E3 ubiquitin transferase		PE=3	SV=2
tr|F6XNV2|F6XNV2_CIOIN	NAD-capped RNA hydrolase NUDT12	LOC100177271	PE=3	SV=2
tr|F6XPL3|F6XPL3_CIOIN	Kinesin-like protein		PE=3	SV=2
tr|F6XQ02|F6XQ02_CIOIN	Isoaspartyl peptidase/L-asparaginase	LOC100182906	PE=3	SV=2
tr|F6XQ09|F6XQ09_CIOIN	non-specific serine/threonine protein kinase	LOC100186582	PE=4	SV=2
tr|F6XQ16|F6XQ16_CIOIN	Protein kinase C		PE=3	SV=2
tr|F6XQI0|F6XQI0_CIOIN	G protein-activated inward rectifier potassium channel 1	LOC100180954	PE=3	SV=2
tr|F6XQX8|F6XQX8_CIOIN	Protein kinase domain-containing protein		PE=3	SV=2
tr|F6XSF3|F6XSF3_CIOIN	Endoribonuclease Dicer		PE=3	SV=2
tr|F6XT42|F6XT42_CIOIN	dual-specificity kinase		PE=3	SV=2
